Date,Open,High,Low,Close,Volume
,NVDA,NVDA,NVDA,NVDA,NVDA
2026-06-30 13:30:00+00:00,197.19500732421875,197.24000549316406,195.33999633789062,195.6300048828125,6018972
2026-06-30 13:31:00+00:00,195.60000610351562,196.2805938720703,195.11000061035156,196.2805938720703,817496
2026-06-30 13:32:00+00:00,196.2899932861328,197.5,196.14999389648438,197.4949951171875,867480
2026-06-30 13:33:00+00:00,197.5,197.88999938964844,197.21499633789062,197.44000244140625,869462
2026-06-30 13:34:00+00:00,197.44000244140625,198.42999267578125,197.4239044189453,198.21499633789062,1018742
2026-06-30 13:35:00+00:00,198.2100067138672,198.7899932861328,198.07000732421875,198.77999877929688,962010
2026-06-30 13:36:00+00:00,198.77000427246094,199.05990600585938,198.0500030517578,198.11000061035156,993990
2026-06-30 13:37:00+00:00,198.03939819335938,198.76499938964844,197.66000366210938,198.2449951171875,725125
2026-06-30 13:38:00+00:00,198.19000244140625,198.2899932861328,197.07000732421875,197.51499938964844,666030
2026-06-30 13:39:00+00:00,197.51499938964844,197.5399932861328,197.13999938964844,197.27999877929688,500072
2026-06-30 13:40:00+00:00,197.2449951171875,197.86000061035156,197.13999938964844,197.17999267578125,437486
2026-06-30 13:41:00+00:00,197.17999267578125,197.25,196.55999755859375,196.9499969482422,692292
2026-06-30 13:42:00+00:00,196.9499969482422,197.39999389648438,196.69200134277344,197.10000610351562,410743
2026-06-30 13:43:00+00:00,197.07000732421875,197.13999938964844,196.77000427246094,196.88999938964844,295769
2026-06-30 13:44:00+00:00,196.88999938964844,197.10000610351562,196.52999877929688,197.02000427246094,432885
2026-06-30 13:45:00+00:00,197.0050048828125,197.25,196.42999267578125,196.6999969482422,618022
2026-06-30 13:46:00+00:00,196.64999389648438,196.80999755859375,196.38999938964844,196.5,437737
2026-06-30 13:47:00+00:00,196.49000549316406,196.7550048828125,196.4700927734375,196.60000610351562,281162
2026-06-30 13:48:00+00:00,196.61000061035156,196.83999633789062,196.38999938964844,196.49000549316406,340949
