Date,Open,High,Low,Close,Volume,MA20,MA50,MA100,MA200,RSI,MACD,MACD_Signal,MACD_Histogram,BB_Middle,BB_Upper,BB_Lower,ATR,Volume_MA20,Relative_Volume,Tomorrow_Close,Target,Return,Lag_Return,Lag_RSI,Lag_MACD,Lag_Volume,Lag_ATR
2022-05-03 00:00:00-04:00,19.364739395345126,19.788968084316135,19.09822447980406,19.56637191772461,475751000,21.17529716491699,23.317145805358887,24.984237327575684,24.37506772994995,41.19278637118937,-1.5038528352936282,-1.3834762408978176,-0.12037659439581061,21.17529716491699,25.321105054314902,17.02948927551908,1.2577817257838857,562391750.0,0.8459423524616071,20.297046661376953,1,0.0035322753985256305,0.053162075472845016,39.301732121419995,-1.5711316159567588,1.0243326203013214,1.3113270681822013
2022-05-04 00:00:00-04:00,19.886794272202142,20.36292670436252,18.716923264105464,20.297046661376953,648855000,20.89595584869385,23.25621639251709,24.882913722991944,24.3837056350708,41.37198094223923,-1.375716171915279,-1.38192422710131,0.0062080551860308475,20.89595584869385,24.41078730476007,17.381124392627626,1.3008461810704763,573003750.0,1.1323747881231143,18.809751510620117,0,0.03734339440775147,0.0035322753985256305,41.19278637118937,-1.5038528352936282,0.8459423524616071,1.2577817257838857
2022-05-05 00:00:00-04:00,19.83089295751336,19.888786204081587,18.46637685642343,18.809751510620117,626331000,20.61831102371216,23.185561218261718,24.76963140487671,24.380926208496092,39.38993459265704,-1.378291149420928,-1.3811976115652336,0.002906462144305566,20.61831102371216,23.84563684524299,17.39098520218133,1.3165320880141755,569128650.0,1.1005086459801312,18.641061782836914,0,-0.07327643157006658,0.03734339440775147,41.37198094223923,-1.375716171915279,1.1323747881231143,1.3008461810704763
2022-05-06 00:00:00-04:00,18.70195175204548,19.47654062399215,17.95730714361305,18.641061782836914,633297000,20.342163848876954,23.084366416931154,24.674991645812987,24.376385412216187,35.898355340159355,-1.3780582907152308,-1.380569747395233,0.0025114566800021887,20.342163848876954,23.2180773737958,17.466250323958107,1.3531083950852476,572893900.0,1.105435055251941,16.919200897216797,0,-0.008968206075872898,-0.07327643157006658,39.38993459265704,-1.378291149420928,1.1005086459801312,1.3165320880141755
2022-05-09 00:00:00-04:00,18.00123079403469,18.22182798096653,16.796423304020628,16.919200897216797,644455000,20.034274578094482,22.940570602416994,24.561376819610597,24.363414907455443,28.7185692476518,-1.4995279074971002,-1.4043613794156065,-0.09516652808149373,20.034274578094482,22.9946507547952,17.073898401393766,1.409362893956859,578877600.0,1.113283706261911,17.56302261352539,1,-0.09236924943864833,-0.008968206075872898,35.898355340159355,-1.3780582907152308,1.105435055251941,1.3531083950852476
2022-05-10 00:00:00-04:00,17.656851643260232,18.16492737651773,16.99405882150625,17.56302261352539,761474000,19.818567180633544,22.80510025024414,24.433022327423096,24.354980506896972,34.146320934042336,-1.526248776238937,-1.4287388587802727,-0.09750991745866422,19.818567180633544,22.841580866789265,16.795553494477822,1.393534242687657,588190950.0,1.2946033936768324,16.599775314331055,0,0.038052726025287864,-0.09236924943864833,28.7185692476518,-1.4995279074971002,1.113283706261911,1.409362893956859
2022-05-11 00:00:00-04:00,17.315473177135534,17.720735437950946,16.537889624665944,16.599775314331055,670167000,19.57530994415283,22.668488883972167,24.31571424484253,24.34215887069702,35.10270622444922,-1.6066310217560051,-1.4643172913754192,-0.14231373038058592,19.57530994415283,22.81568248487902,16.334937403426643,1.3074766173363686,588586400.0,1.1386042898714615,16.145610809326172,0,-0.05484518925874027,0.038052726025287864,34.146320934042336,-1.526248776238937,1.2946033936768324,1.393534242687657
2022-05-12 00:00:00-04:00,16.189531490005024,16.757497915082617,15.538716637163738,16.145610809326172,708728000,19.274457931518555,22.507881393432616,24.19971284866333,24.32559480667114,35.74110541351446,-1.6875290262298144,-1.5089596383462984,-0.17856938788351595,19.274457931518555,22.61900041106038,15.92991545197673,1.324231825478692,598175650.0,1.1848158647046232,17.67382049560547,1,-0.02735967785134963,-0.05484518925874027,35.10270622444922,-1.6066310217560051,1.1386042898714615,1.3074766173363686
2022-05-13 00:00:00-04:00,16.757489599664027,17.895417154710085,16.562844297235856,17.67382049560547,670437000,19.09718065261841,22.38793972015381,24.099811935424803,24.31587858200073,41.459215934404114,-1.6097710886502057,-1.52912192840708,-0.08064916024312563,19.09718065261841,22.38300855392356,15.811352751313258,1.3886854152494625,603242650.0,1.1113885929650364,17.23262596130371,0,0.09465171087838686,-0.02735967785134963,35.74110541351446,-1.6875290262298144,1.1848158647046232,1.324231825478692
2022-05-16 00:00:00-04:00,17.477181558942796,17.75567386028926,17.074914055272394,17.23262596130371,521446000,18.87164125442505,22.27470584869385,23.981965999603272,24.304769535064697,43.745900834622226,-1.5656996634976608,-1.5364374754251962,-0.029262188072464612,18.87164125442505,22.00854593049699,15.734736578353111,1.3494706876606215,603029900.0,0.8647100251579565,18.143966674804688,1,-0.02496316709856028,0.09465171087838686,41.459215934404114,-1.6097710886502057,1.1113885929650364,1.3886854152494625
2022-05-17 00:00:00-04:00,18.04115321874996,18.337614359005986,17.601954209019933,18.143966674804688,585830000,18.6709566116333,22.21132125854492,23.86998998641968,24.296965065002443,49.06475572098824,-1.4406284938424818,-1.5172756791086535,0.07664718526617165,18.6709566116333,21.411180177705766,15.930733045560835,1.3658694949845611,606682350.0,0.9656288830555232,16.907217025756836,0,0.05288461059547256,-0.02496316709856028,43.745900834622226,-1.5656996634976608,0.8647100251579565,1.3494706876606215
2022-05-18 00:00:00-04:00,17.672823297029897,18.08507282771539,16.8333521055283,16.907217025756836,545161000,18.44416961669922,22.119967575073243,23.743251209259032,24.282652568817138,38.71066298640076,-1.424878934135343,-1.4987963301139915,0.07391739597864855,18.44416961669922,20.96001683963378,15.92832239376466,1.3438380433091286,610491700.0,0.8929867514988328,17.092880249023438,1,-0.06816313495357351,0.05288461059547256,49.06475572098824,-1.4406284938424818,0.9656288830555232,1.3658694949845611
2022-05-19 00:00:00-04:00,16.906219819291394,17.654856806883604,16.703587720835515,17.092880249023438,621310000,18.291497802734376,22.002381591796876,23.6053450012207,24.266978664398195,43.838203178355165,-1.3814908574758888,-1.475335235586371,0.09384437811048207,18.291497802734376,20.7421720225023,15.840823582966452,1.2969235171671278,608746750.0,1.0206378925226294,16.66366195678711,0,0.010981300055695531,-0.06816313495357351,38.71066298640076,-1.424878934135343,0.8929867514988328,1.3438380433091286
2022-05-20 00:00:00-04:00,17.30050299605302,17.378360361940025,15.726368287812404,16.66366195678711,739105000,18.150704002380373,21.883318367004396,23.469364204406737,24.247347803115844,37.08486353530724,-1.3659935004142447,-1.453466888551946,0.08747338813770122,18.150704002380373,20.637279405021342,15.664128599739403,1.3305766183555718,614466350.0,1.202840481012508,16.867294311523438,1,-0.025110940109748348,0.010981300055695531,43.838203178355165,-1.3814908574758888,1.0206378925226294,1.2969235171671278
2022-05-23 00:00:00-04:00,16.244427672325003,16.88426361777237,16.1496009881176,16.867294311523438,639889000,18.000777149200438,21.779467506408693,23.338623390197753,24.230086994171142,37.84830122807301,-1.322040642504767,-1.4271816393425103,0.10514099683774325,18.000777149200438,20.412391116764358,15.589163181636518,1.3337136915800498,614382500.0,1.041515668170887,16.12464141845703,0,0.012220144363489505,-0.025110940109748348,37.08486353530724,-1.3659935004142447,1.202840481012508,1.3305766183555718
2022-05-24 00:00:00-04:00,16.47999533080433,16.56683711237005,15.751321521154898,16.12464141845703,588550000,17.86931667327881,21.676135635375978,23.2045977973938,24.209467124938964,31.23537244947501,-1.331781618318825,-1.4081016351377733,0.0763200168189484,17.86931667327881,20.392162483970264,15.346470862587356,1.2958543594451561,611152850.0,0.9630160441860003,16.944150924682617,1,-0.04402916551702307,0.012220144363489505,37.84830122807301,-1.322040642504767,1.041515668170887,1.3337136915800498
2022-05-25 00:00:00-04:00,15.990886566703573,17.079903445712347,15.97092245670094,16.944150924682617,781132000,17.79744749069214,21.55639362335205,23.08051378250122,24.19473569869995,41.073642956669595,-1.258862460772601,-1.3782538002647389,0.11939133949213776,17.79744749069214,20.34066667202632,15.254228309357957,1.2443051583064335,625236450.0,1.2493385502396732,17.818557739257812,1,0.050823425151491186,-0.04402916551702307,31.23537244947501,-1.331781618318825,0.9630160441860003,1.2958543594451561
2022-05-26 00:00:00-04:00,16.00685575522456,18.059118973315748,15.992881259502376,17.818557739257812,996575000,17.701072788238527,21.423735084533693,22.958088035583497,24.185558595657348,46.313516396995276,-1.1176328055691584,-1.326129601325623,0.20849679575646451,17.701072788238527,20.073744093742313,15.328401482734739,1.2833768892660244,646548850.0,1.541376185264269,18.776813507080078,1,0.051605230528337875,0.050823425151491186,41.073642956669595,-1.258862460772601,1.2493385502396732,1.2443051583064335
2022-05-27 00:00:00-04:00,18.15294938885793,18.846685983699807,18.06710524448989,18.776813507080078,738379000,17.714248657226562,21.304851417541503,22.853538246154784,24.18014510154724,58.937647427628775,-0.9178041790670335,-1.244464516873905,0.32666033780687154,17.714248657226562,20.108737619734534,15.319759694718593,1.2250547296678607,658446050.0,1.121396354340648,18.6380672454834,0,0.05377852584056453,0.051605230528337875,46.313516396995276,-1.1176328055691584,1.541376185264269,1.2833768892660244
2022-05-31 00:00:00-04:00,18.945506160051778,19.165107560608973,18.316651930915967,18.6380672454834,664100000,17.67127695083618,21.149514350891113,22.764427528381347,24.17262614250183,55.436662061786414,-0.7618520603216012,-1.1479420255634443,0.386089965241843,17.67127695083618,19.95950825096045,15.383045650711912,1.1966782404101515,663048600.0,1.0015857057838595,18.28670310974121,0,-0.0073892336175338524,0.05377852584056453,58.937647427628775,-0.9178041790670335,1.121396354340648,1.2250547296678607
2022-06-01 00:00:00-04:00,18.68997007377349,19.01837068481213,18.089063020279156,18.28670310974121,544514000,17.60729351043701,20.981540145874025,22.666074562072755,24.164537620544433,59.09384415817298,-0.6590143250067904,-1.0501564854521135,0.39114216044532313,17.60729351043701,19.738589069197225,15.475997951676796,1.1785683726421496,666486750.0,0.8169914855771702,19.556396484375,1,-0.01885196201485617,-0.0073892336175338524,55.436662061786414,-0.7618520603216012,1.0015857057838595,1.1966782404101515
2022-06-02 00:00:00-04:00,18.258759605191464,19.58334784646,18.16493055901775,19.556396484375,648656000,17.570261001586914,20.843152198791504,22.58971000671387,24.165251932144166,66.90074474519885,-0.46964723383486273,-0.9340546351286634,0.46440740129380065,17.570261001586914,19.52303505325076,15.61748694992307,1.1928280876081045,666476800.0,0.9732611847854269,18.685977935791016,0,0.06943260176611221,-0.01885196201485617,59.09384415817298,-0.6590143250067904,0.8169914855771702,1.1785683726421496
2022-06-03 00:00:00-04:00,19.047321460231885,19.296867114895196,18.48833782299085,18.685977935791016,598779000,17.56407232284546,20.705123405456543,22.503114318847658,24.163699398040773,55.36506921000144,-0.38536569637825835,-0.8243168473785825,0.4389511510003241,17.56407232284546,19.501027199391867,15.62711744629905,1.1441318244652643,665099200.0,0.9002852506814021,18.751859664916992,1,-0.044508125475949734,0.06943260176611221,66.90074474519885,-0.46964723383486273,0.9732611847854269,1.1928280876081045
2022-06-06 00:00:00-04:00,19.10421880079085,19.301858931419297,18.53026298173821,18.751859664916992,422406000,17.569612216949462,20.51818378448486,22.41301574707031,24.158694944381715,58.386575347312004,-0.3096859983679856,-0.7213906775764631,0.41170467920847753,17.569612216949462,19.520123139756983,15.619101294141942,1.1506201205127087,654554650.0,0.6453334339615493,18.891603469848633,1,0.0035257308636647,-0.044508125475949734,55.36506921000144,-0.38536569637825835,0.9002852506814021,1.1441318244652643
2022-06-07 00:00:00-04:00,18.438428121556196,18.965468384281454,18.154943882331036,18.891603469848633,388914000,17.668232345581053,20.343182334899904,22.32249822616577,24.14931082725525,54.51148043479411,-0.2357159485549296,-0.6242557317721565,0.38853978321722693,17.668232345581053,19.678806941505453,15.657657749656654,1.1295869851018616,641777600.0,0.6059949739598266,18.618045806884766,0,0.007452263798298775,0.0035257308636647,58.386575347312004,-0.3096859983679856,0.6453334339615493,1.1506201205127087
